"State","Country","report_date","yoy_pct_change"
"Alberta","Canada",2020-02-21,0.01
"British Columbia","Canada",2020-02-21,0.06
"Ontario","Canada",2020-02-21,-0.07
"Quebec","Canada",2020-02-21,-0.05
"Baja California Sur","Mexico",2020-02-21,-0.09
"Jalisco","Mexico",2020-02-21,0.05
"Mexico City","Mexico",2020-02-21,-0.02
"Nuevo Leon","Mexico",2020-02-21,0.04
"Quintana Roo","Mexico",2020-02-21,-0.07
"Alabama","United States",2020-02-21,-0.02
"Arizona","United States",2020-02-21,0.04
"California","United States",2020-02-21,0
"Colorado","United States",2020-02-21,0.07
"Connecticut","United States",2020-02-21,-0.03
"District of Columbia","United States",2020-02-21,0
"Florida","United States",2020-02-21,-0.05
"Georgia","United States",2020-02-21,-0.05
"Hawaii","United States",2020-02-21,0.05
"Illinois","United States",2020-02-21,-0.03
"Indiana","United States",2020-02-21,-0.08
"Kansas","United States",2020-02-21,-0.11
"Kentucky","United States",2020-02-21,0.06
"Louisiana","United States",2020-02-21,0.1
"Maryland","United States",2020-02-21,0.01
"Massachusetts","United States",2020-02-21,-0.07
"Michigan","United States",2020-02-21,-0.12
"Minnesota","United States",2020-02-21,-0.09
"Missouri","United States",2020-02-21,0.03
"Nebraska","United States",2020-02-21,-0.01
"Nevada","United States",2020-02-21,0.01
"New Jersey","United States",2020-02-21,-0.02
"New Mexico","United States",2020-02-21,0.08
"New York","United States",2020-02-21,-0.04
"North Carolina","United States",2020-02-21,-0.01
"Ohio","United States",2020-02-21,-0.07
"Oklahoma","United States",2020-02-21,0.04
"Oregon","United States",2020-02-21,0.09
"Pennsylvania","United States",2020-02-21,-0.03
"Rhode Island","United States",2020-02-21,-0.15
"South Carolina","United States",2020-02-21,0
"Tennessee","United States",2020-02-21,0.03
"Texas","United States",2020-02-21,0.02
"Utah","United States",2020-02-21,0.04
"Virginia","United States",2020-02-21,-0.03
"Washington","United States",2020-02-21,0.03
"Wisconsin","United States",2020-02-21,-0.03
"New South Wales","Australia",2020-02-22,0.08
"Queensland","Australia",2020-02-22,0.02
"Victoria","Australia",2020-02-22,-0.05
"Alberta","Canada",2020-02-22,0.05
"British Columbia","Canada",2020-02-22,0.03
"Ontario","Canada",2020-02-22,-0.05
"Quebec","Canada",2020-02-22,0.05
"Baja California Sur","Mexico",2020-02-22,0.01
"Jalisco","Mexico",2020-02-22,-0.06
"Mexico City","Mexico",2020-02-22,0
"Nuevo Leon","Mexico",2020-02-22,0.09
"Quintana Roo","Mexico",2020-02-22,0.02
"Alabama","United States",2020-02-22,0.08
"Arizona","United States",2020-02-22,-0.03
"California","United States",2020-02-22,-0.02
"Colorado","United States",2020-02-22,0.01
"Connecticut","United States",2020-02-22,-0.06
"District of Columbia","United States",2020-02-22,0.08
"Florida","United States",2020-02-22,0.02
"Georgia","United States",2020-02-22,-0.02
"Hawaii","United States",2020-02-22,0.04
"Illinois","United States",2020-02-22,0.06
"Indiana","United States",2020-02-22,0.03
"Kansas","United States",2020-02-22,-0.04
"Kentucky","United States",2020-02-22,0.11
"Louisiana","United States",2020-02-22,0.02
"Maryland","United States",2020-02-22,0.08
"Massachusetts","United States",2020-02-22,-0.01
"Michigan","United States",2020-02-22,0
"Minnesota","United States",2020-02-22,0.17
"Missouri","United States",2020-02-22,0.01
"Nebraska","United States",2020-02-22,1.63
"Nevada","United States",2020-02-22,-0.04
"New Jersey","United States",2020-02-22,0.03
"New Mexico","United States",2020-02-22,-0.04
"New York","United States",2020-02-22,0.01
"North Carolina","United States",2020-02-22,0.04
"Ohio","United States",2020-02-22,-0.07
"Oklahoma","United States",2020-02-22,-0.02
"Oregon","United States",2020-02-22,0.07
"Pennsylvania","United States",2020-02-22,0.01
"Rhode Island","United States",2020-02-22,-0.06
"South Carolina","United States",2020-02-22,0.1
"Tennessee","United States",2020-02-22,0.07
"Texas","United States",2020-02-22,0.01
"Utah","United States",2020-02-22,0.05
"Virginia","United States",2020-02-22,0.06
"Washington","United States",2020-02-22,0.02
"Wisconsin","United States",2020-02-22,0.14
"New South Wales","Australia",2020-02-23,-0.05
"Queensland","Australia",2020-02-23,0.04
"Victoria","Australia",2020-02-23,-0.02
"Alberta","Canada",2020-02-23,0
"British Columbia","Canada",2020-02-23,-0.02
"Ontario","Canada",2020-02-23,0.14
"Quebec","Canada",2020-02-23,0.29
"Baja California Sur","Mexico",2020-02-23,0.01
"Jalisco","Mexico",2020-02-23,0.02
"Mexico City","Mexico",2020-02-23,0.02
"Nuevo Leon","Mexico",2020-02-23,0.1
"Quintana Roo","Mexico",2020-02-23,-0.01
"Alabama","United States",2020-02-23,0.02
"Arizona","United States",2020-02-23,0.05
"California","United States",2020-02-23,0.07
"Colorado","United States",2020-02-23,-0.08
"Connecticut","United States",2020-02-23,0.02
"District of Columbia","United States",2020-02-23,0.15
"Florida","United States",2020-02-23,0.02
"Georgia","United States",2020-02-23,-0.09
"Hawaii","United States",2020-02-23,0.03
"Illinois","United States",2020-02-23,0.11
"Indiana","United States",2020-02-23,0.13
"Kansas","United States",2020-02-23,-0.06
"Kentucky","United States",2020-02-23,-0.02
"Louisiana","United States",2020-02-23,0.11
"Maryland","United States",2020-02-23,0.08
"Massachusetts","United States",2020-02-23,0.11
"Michigan","United States",2020-02-23,0.18
"Minnesota","United States",2020-02-23,0.22
"Missouri","United States",2020-02-23,-0.03
"Nebraska","United States",2020-02-23,0.6
"Nevada","United States",2020-02-23,0.08
"New Jersey","United States",2020-02-23,0.12
"New Mexico","United States",2020-02-23,0.03
"New York","United States",2020-02-23,0.13
"North Carolina","United States",2020-02-23,0.02
