"City","report_date","yoy_pct_change","State","Country"
"Edmonton",2020-03-14,-0.4,"Alberta","Canada"
"Vancouver",2020-03-14,-0.33,"British Columbia","Canada"
"Toronto",2020-03-14,-0.49,"Ontario","Canada"
"Montréal",2020-03-14,-0.43,"Quebec","Canada"
"Hamburg",2020-03-14,-0.4,"","Germany"
"München",2020-03-14,-0.44,"","Germany"
"Dublin",2020-03-14,-0.54,"","Ireland"
"Ciudad de México",2020-03-14,-0.2,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-14,-0.34,"Nuevo Leon","Mexico"
"London",2020-03-14,-0.31,"","United Kingdom"
"Phoenix",2020-03-14,-0.27,"Arizona","United States"
"Scottsdale",2020-03-14,-0.25,"Arizona","United States"
"Los Angeles",2020-03-14,-0.47,"California","United States"
"San Diego",2020-03-14,-0.42,"California","United States"
"San Francisco",2020-03-14,-0.58,"California","United States"
"Denver",2020-03-14,-0.46,"Colorado","United States"
"Washington",2020-03-14,-0.44,"District of Columbia","United States"
"Fort Lauderdale",2020-03-14,-0.3,"Florida","United States"
"Miami",2020-03-14,-0.3,"Florida","United States"
"Miami Beach",2020-03-14,-0.24,"Florida","United States"
"Naples",2020-03-14,-0.3,"Florida","United States"
"Orlando",2020-03-14,-0.32,"Florida","United States"
"Tampa",2020-03-14,-0.23,"Florida","United States"
"Atlanta",2020-03-14,-0.34,"Georgia","United States"
"Honolulu",2020-03-14,-0.22,"Hawaii","United States"
"Chicago",2020-03-14,-0.49,"Illinois","United States"
"Indianapolis",2020-03-14,-0.58,"Indiana","United States"
"Louisville",2020-03-14,-0.52,"Kentucky","United States"
"New Orleans",2020-03-14,-0.39,"Louisiana","United States"
"Baltimore",2020-03-14,-0.39,"Maryland","United States"
"Boston",2020-03-14,-0.64,"Massachusetts","United States"
"Minneapolis",2020-03-14,-0.35,"Minnesota","United States"
"Las Vegas",2020-03-14,-0.36,"Nevada","United States"
"New York",2020-03-14,-0.64,"New York","United States"
"Charlotte",2020-03-14,-0.34,"North Carolina","United States"
"Raleigh",2020-03-14,-0.39,"North Carolina","United States"
"Cincinnati",2020-03-14,-0.52,"Ohio","United States"
"Columbus",2020-03-14,-0.53,"Ohio","United States"
"Portland",2020-03-14,-0.39,"Oregon","United States"
"Philadelphia",2020-03-14,-0.48,"Pennsylvania","United States"
"Pittsburgh",2020-03-14,-0.48,"Pennsylvania","United States"
"Nashville",2020-03-14,-0.4,"Tennessee","United States"
"Austin",2020-03-14,-0.36,"Texas","United States"
"Dallas",2020-03-14,-0.35,"Texas","United States"
"Houston",2020-03-14,-0.34,"Texas","United States"
"San Antonio",2020-03-14,-0.39,"Texas","United States"
"Seattle",2020-03-14,-0.63,"Washington","United States"
"Calgary",2020-03-13,-0.48,"Alberta","Canada"
"Edmonton",2020-03-13,-0.33,"Alberta","Canada"
"Vancouver",2020-03-13,-0.36,"British Columbia","Canada"
"Toronto",2020-03-13,-0.49,"Ontario","Canada"
"Montréal",2020-03-13,-0.48,"Quebec","Canada"
"Hamburg",2020-03-13,-0.28,"","Germany"
"München",2020-03-13,-0.28,"","Germany"
"Dublin",2020-03-13,-0.46,"","Ireland"
"Ciudad de México",2020-03-13,-0.16,"Mexico City","Mexico"
