"State","report_date","yoy_pct_change","Country"
"Arizona",2020-03-06,-0.03,"United States"
"Baja California Sur",2020-03-06,-0.08,"Mexico"
"British Columbia",2020-03-06,-0.06,"Canada"
"California",2020-03-06,-0.08,"United States"
"Colorado",2020-03-06,-0.08,"United States"
"Connecticut",2020-03-06,-0.08,"United States"
"District of Columbia",2020-03-06,-0.06,"United States"
"Florida",2020-03-06,-0.05,"United States"
"Georgia",2020-03-06,-0.03,"United States"
"Hawaii",2020-03-06,-0.08,"United States"
"Illinois",2020-03-06,-0.07,"United States"
"Indiana",2020-03-06,0.01,"United States"
"Jalisco",2020-03-06,-0.12,"Mexico"
"Kansas",2020-03-06,-0.1,"United States"
"Kentucky",2020-03-06,-0.03,"United States"
"Louisiana",2020-03-06,0.05,"United States"
"Maryland",2020-03-06,0.02,"United States"
"Massachusetts",2020-03-06,-0.06,"United States"
"Mexico City",2020-03-06,-0.08,"Mexico"
"Michigan",2020-03-06,-0.09,"United States"
"Minnesota",2020-03-06,-0.12,"United States"
"Missouri",2020-03-06,0,"United States"
"Nebraska",2020-03-06,-0.18,"United States"
"Nevada",2020-03-06,-0.06,"United States"
"New Jersey",2020-03-06,-0.16,"United States"
"New Mexico",2020-03-06,-0.02,"United States"
"New South Wales",2020-03-06,-0.02,"Australia"
"New York",2020-03-06,-0.14,"United States"
"North Carolina",2020-03-06,-0.01,"United States"
"Nuevo Leon",2020-03-06,-0.02,"Mexico"
"Ohio",2020-03-06,-0.13,"United States"
"Oklahoma",2020-03-06,0.02,"United States"
"Ontario",2020-03-06,-0.14,"Canada"
"Oregon",2020-03-06,-0.04,"United States"
"Pennsylvania",2020-03-06,-0.09,"United States"
"Quebec",2020-03-06,-0.08,"Canada"
"Queensland",2020-03-06,-0.03,"Australia"
"Quintana Roo",2020-03-06,-0.04,"Mexico"
"Rhode Island",2020-03-06,-0.02,"United States"
"South Carolina",2020-03-06,0.03,"United States"
"Tennessee",2020-03-06,-0.01,"United States"
"Texas",2020-03-06,0.02,"United States"
"Utah",2020-03-06,0.08,"United States"
"Victoria",2020-03-06,-0.13,"Australia"
"Virginia",2020-03-06,0.05,"United States"
"Washington",2020-03-06,-0.24,"United States"
"Alabama",2020-03-05,-0.15,"United States"
"Alberta",2020-03-05,-0.08,"Canada"
"Arizona",2020-03-05,-0.04,"United States"
"Baja California Sur",2020-03-05,0,"Mexico"
"British Columbia",2020-03-05,-0.06,"Canada"
"California",2020-03-05,-0.1,"United States"
"Colorado",2020-03-05,-0.04,"United States"
"Connecticut",2020-03-05,-0.07,"United States"
